"Renewable quarterly electricity capacity and generation, quarterly data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This worksheet contains 4 tables, arranged vertically on top of each other and separated by a blank row",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Some cells refer to notes which can be found on the notes worksheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[x] is used to indicate data not available ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units are specified in the table header or in the row label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CUMULATIVE INSTALLED CAPACITY (MW) 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELECTRICITY GENERATED (GWh) [note 5],"2010 
1st quarter","2010 
2nd quarter","2010 
3rd quarter","2010 
4th quarter","2011 
1st quarter","2011 
2nd quarter","2011 
3rd quarter","2011 
4th quarter","2012 
1st quarter","2012 
2nd quarter","2012 
3rd quarter","2012 
4th quarter","2013 
1st quarter","2013 
2nd quarter","2013 
3rd quarter","2013 
4th quarter","2014 
1st quarter","2014 
2nd quarter","2014 
3rd quarter","2014 
4th quarter","2015 
1st quarter","2015 
2nd quarter","2015 
3rd quarter","2015 
4th quarter","2016 
1st quarter","2016 
2nd quarter","2016 
3rd quarter","2016 
4th quarter","2017 
1st quarter","2017 
2nd quarter","2017 
3rd quarter","2017 
4th quarter","2018 
1st quarter","2018 
2nd quarter","2018 
3rd quarter","2018 
4th quarter","2019 
1st quarter","2019 
2nd quarter","2019 
3rd quarter","2019 
4th quarter","2020 
1st quarter","2020 
2nd quarter","2020 
3rd quarter","2020 
4th quarter","2021 
1st quarter","2021 
2nd quarter","2021 
3rd quarter","2021
4th quarter","2022
1st quarter",,,
Onshore Wind [note 6],"1,757","1,199","1,934","2,336","2,397","2,492","1,915","4,010","3,565","2,242","2,648","3,789","3,974","3,874","2,769","6,309","6,666","3,036","2,884","5,968","7,161","4,757","3,809","7,125","6,324","3,957","4,599","5,873","7,745","6,186","5,630","9,164","9,561","5,437","5,547","9,837","9,836","6,052","6,796","9,176","12,929","6,086","6,671","9,249","9,962","5,295","3,992","9,903","11,741",,,
Offshore Wind [note 6] [note 7],671,460,826,"1,103",998,"1,129","1,098","1,924","1,507","1,650","1,707","2,739","2,805","2,615","1,965","4,087","4,384","2,092","2,242","4,687","4,675","3,578","3,412","5,758","5,148","3,252","3,582","4,423","5,162","3,992","3,959","7,803","7,927","4,727","5,018","8,853","8,600","5,936","7,188","10,251","13,362","7,290","8,012","12,017","11,201","6,190","6,124","11,995","12,670",,,
Shoreline wave / tidal [note 6],1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,1,3,3,1,2,3,4,4,3,3,3,3,2,1,1,1,2,1,,,
Solar photovoltaics [note 6],6,11,15,9,15,66,105,57,178,438,554,184,140,701,860,309,470,"1,473","1,562",549,938,"3,104","2,695",796,"1,457","3,868","3,739","1,330","1,606","4,579","3,957","1,316","1,793","4,909","4,481","1,485","1,918","4,621","4,488","1,391","1,912","5,430","4,211","1,350","1,716","4,997","4,033","1,393","2,076",,,
Hydro [note 6],845,654,856,"1,237","1,304","1,142","1,231","2,015","1,825",796,"1,054","1,635","1,253",969,743,"1,736","2,243","1,113",779,"1,752","2,011","1,425","1,028","1,833","2,082",933,"1,148","1,208","1,798",864,"1,264","1,956","1,565",954,891,"2,034","1,891",832,"1,406","1,804","2,470","1,009","1,184","2,203","1,767","1,001",661,"2,067","1,849",,,
Landfill gas [note 6],"1,301","1,291","1,301","1,324","1,327","1,317","1,318","1,355","1,309","1,289","1,305","1,305","1,296","1,292","1,272","1,314","1,269","1,262","1,239","1,264","1,240","1,212","1,201","1,220","1,218","1,171","1,158","1,156","1,096","1,059","1,063","1,066","1,005",977,958,975,930,892,891,911,892,867,855,882,837,823,822,832,783,,,
Sewage sludge digestion [note 6],175,189,180,179,189,198,190,197,191,186,175,187,180,204,184,197,192,225,208,215,225,233,217,220,236,251,229,234,246,247,232,243,243,263,228,258,263,270,254,261,269,279,253,266,262,275,245,265,253,,,
Energy from waste [note 8],378,383,378,390,378,368,377,381,423,431,465,453,415,401,419,413,469,466,485,480,609,603,685,686,728,625,677,709,845,822,868,851,873,873,873,873,893,917,962,"1,021","1,140","1,105","1,070","1,032","1,149","1,121","1,131","1,157","1,147",,,
